"Year","TeamId","Team","Classification","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties","NeutralSiteGames Games","NeutralSiteGames Wins","NeutralSiteGames Losses","NeutralSiteGames Ties","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","RegularSeason Ties","Postseason Games","Postseason Wins","Postseason Losses","Postseason Ties"
"2022","2754","Youngstown State","fcs","MVFC","","5.316334352161349","11","7","4","0","8","5","3","0","6","5","1","0","5","2","3","0","0","0","0","0","11","7","4","0","0","0","0","0"
"2022","43","Yale","fcs","Ivy","","6.001470085250013","10","8","2","0","7","6","1","0","5","5","0","0","5","3","2","0","0","0","0","0","10","8","2","0","0","0","0","0"
"2022","2751","Wyoming","fbs","Mountain West","Mountain","6.0187623865977224","13","7","6","0","8","5","3","0","6","4","2","0","6","3","3","0","1","0","1","0","12","7","5","0","1","0","1","0"
"2022","402","Worcester St","iii","MSCAC","","","10","1","9","0","8","1","7","0","5","0","5","0","5","1","4","0","0","0","0","0","10","1","9","0","0","0","0","0"
"2022","2749","Worcester Polytechnic Institute","iii","NEWMAC","","","10","4","6","0","6","2","4","0","5","2","3","0","5","2","3","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2022","2748","Wooster","iii","North Coast","","","10","6","4","0","8","4","4","0","5","2","3","0","5","4","1","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2022","2747","Wofford","fcs","Southern","","2.684400866715483","11","3","8","0","8","3","5","0","5","3","2","0","6","0","6","0","0","0","0","0","11","3","8","0","0","0","0","0"
"2022","2746","Wittenberg","iii","North Coast","","","10","5","5","0","8","4","4","0","5","2","3","0","5","3","2","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2022","2745","Wisconsin-Whitewater","iii","Wisconsin","","","11","8","3","0","7","6","1","0","5","4","1","0","6","4","2","0","0","0","0","0","11","8","3","0","0","0","0","0"
"2022","2744","Wisconsin-Stout","iii","Wisconsin","","","10","5","5","0","7","3","4","0","5","3","2","0","5","2","3","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2022","2743","Wisconsin-Stevens Pt","iii","Wisconsin","","","10","1","9","0","7","0","7","0","5","1","4","0","5","0","5","0","0","0","0","0","10","1","9","0","0","0","0","0"
"2022","2723","Wisconsin-River Falls","iii","Wisconsin","","","10","6","4","0","7","4","3","0","5","5","0","0","5","1","4","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2022","272","Wisconsin-Platteville","iii","Wisconsin","","","10","5","5","0","7","4","3","0","5","4","1","0","5","1","4","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2022","271","Wisconsin-Oshkosh","iii","Wisconsin","","","10","6","4","0","7","4","3","0","4","3","1","0","6","3","3","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2022","2741","Wisconsin-Lutheran","iii","NACC","","","10","4","6","0","8","4","4","0","5","3","2","0","5","1","4","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2022","2740","Wisconsin-Lacrosse","iii","Wisconsin","","","11","9","2","0","7","6","1","0","5","4","1","0","6","5","1","0","0","0","0","0","11","9","2","0","0","0","0","0"
"2022","2738","Wisconsin-Eau Claire","iii","Wisconsin","","","10","2","8","0","7","1","6","0","6","2","4","0","4","0","4","0","0","0","0","0","10","2","8","0","0","0","0","0"
"2022","275","Wisconsin","fbs","Big Ten","West","8.8171866766723","13","7","6","0","9","4","5","0","7","4","3","0","5","2","3","0","1","1","0","0","12","6","6","0","1","1","0","0"
"2022","2736","Winston-Salem","ii","CIAA","Southern","0.0010556198259314975","10","3","6","1","8","3","4","1","4","2","1","1","5","1","4","0","1","0","1","0","10","3","6","1","0","0","0","0"
"2022","2851","Winona State","ii","Northern Sun","South","","12","8","4","0","12","8","4","0","5","5","0","0","7","3","4","0","0","0","0","0","12","8","4","0","0","0","0","0"
"2022","351","Wingate","ii","South Atlantic","","","14","11","3","0","6","5","1","0","5","3","2","0","8","8","0","0","1","0","1","0","14","11","3","0","0","0","0","0"
"2022","122666","Wilson","ii","South Atlantic","","0.0026348483601867922","11","4","7","0","1","1","0","0","5","2","3","0","6","2","4","0","0","0","0","0","11","4","7","0","0","0","0","0"
"2022","2733","Wilmington (OH)","iii","Ohio","","","10","3","7","0","9","2","7","0","5","1","4","0","5","2","3","0","0","0","0","0","10","3","7","0","0","0","0","0"
"2022","2731","Williams","iii","NESCAC","","","8","3","5","0","8","3","5","0","5","3","2","0","3","0","3","0","0","0","0","0","8","3","5","0","0","0","0","0"
"2022","2970","William Paterson","iii","New Jersey","","","10","5","5","0","6","2","4","0","5","2","3","0","5","3","2","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2022","2911","William Jewell","ii","Great Lakes","","0.0018312004515357305","11","2","9","0","5","1","4","0","6","1","5","0","5","1","4","0","0","0","0","0","11","2","9","0","0","0","0","0"
"2022","2729","William & Mary","fcs","CAA","","9.209783383057088","13","11","2","0","8","7","1","0","6","5","1","0","7","6","1","0","0","0","0","0","13","11","2","0","0","0","0","0"
"2022","2930","Willamette","iii","Northwest","","","10","2","8","0","7","0","7","0","5","1","4","0","4","0","4","0","1","1","0","0","10","2","8","0","0","0","0","0"
"2022","398","Wilkes","iii","Mid Atlantic","","","10","7","3","0","9","6","3","0","5","5","0","0","5","2","3","0","0","0","0","0","10","7","3","0","0","0","0","0"
"2022","2725","Widener","iii","Mid Atlantic","","","10","3","7","0","8","2","6","0","5","1","4","0","5","2","3","0","0","0","0","0","10","3","7","0","0","0","0","0"
"2022","2721","Whitworth","iii","Northwest","","","10","6","4","0","7","4","3","0","5","3","2","0","5","3","2","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2022","2850","Whittier","iii","So. Cal.","","","9","0","9","0","8","0","8","0","5","0","5","0","4","0","4","0","0","0","0","0","9","0","9","0","0","0","0","0"
"2022","112335","Wheeling","ii","Mountain East","","","11","7","4","0","10","6","4","0","6","4","2","0","5","3","2","0","0","0","0","0","11","7","4","0","0","0","0","0"
"2022","396","Wheaton","iii","CCIW","","","11","8","3","0","8","7","1","0","6","5","1","0","5","3","2","0","0","0","0","0","11","8","3","0","0","0","0","0"
"2022","433","Westminster College (MO)","iii","Upper Midwest","","","10","1","9","0","6","1","5","0","4","0","4","0","5","0","5","0","1","1","0","0","10","1","9","0","0","0","0","0"
"2022","2849","Westminster (PA)","iii","Presidents'","","","10","7","2","1","8","6","1","1","5","4","1","0","5","3","1","1","0","0","0","0","10","7","2","1","0","0","0","0"
"2022","2909","Westfield State","iii","MSCAC","","","10","2","8","0","8","2","6","0","5","1","4","0","5","1","4","0","0","0","0","0","10","2","8","0","0","0","0","0"
"2022","2848","Western Oregon","ii","Lone Star","","0.15078452598708947","11","6","5","0","2","2","0","0","6","4","2","0","5","2","3","0","0","0","0","0","11","6","5","0","0","0","0","0"
"2022","2703","Western New Mexico","ii","Lone Star","","0.0027301075524204244","11","6","5","0","6","3","3","0","5","4","1","0","5","1","4","0","1","1","0","0","11","6","5","0","0","0","0","0"
"2022","2702","Western New England","iii","Commonwealth Coast","","","10","4","6","0","6","3","3","0","6","3","3","0","4","1","3","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2022","2711","Western Michigan","fbs","Mid-American","West","4.301971730411199","12","5","7","0","8","4","4","0","6","2","4","0","6","3","3","0","0","0","0","0","12","5","7","0","0","0","0","0"
"2022","98","Western Kentucky","fbs","Conference USA","","8.582883913889692","14","9","5","0","8","6","2","0","6","4","2","0","7","4","3","0","1","1","0","0","13","8","5","0","1","1","0","0"
"2022","2710","Western Illinois","fcs","MVFC","","2.4592512018232218","11","0","11","0","8","0","8","0","5","0","5","0","6","0","6","0","0","0","0","0","11","0","11","0","0","0","0","0"
"2022","2843","Western Connecticut St","iii","MSCAC","","","10","7","3","0","8","6","2","0","4","3","1","0","6","4","2","0","0","0","0","0","10","7","3","0","0","0","0","0"
"2022","2714","Western Colorado","ii","Rocky Mountain","","","11","7","4","0","9","7","2","0","5","2","3","0","6","5","1","0","0","0","0","0","11","7","4","0","0","0","0","0"
"2022","2717","Western Carolina","fcs","Southern","","4.322392830095871","11","6","5","0","8","4","4","0","5","4","1","0","6","2","4","0","0","0","0","0","11","6","5","0","0","0","0","0"
"2022","455","West Virginia Wesleyan","ii","Mountain East","","","11","1","10","0","10","1","9","0","6","0","6","0","5","1","4","0","0","0","0","0","11","1","10","0","0","0","0","0"
"2022","2707","West Virginia State","ii","Mountain East","","","11","7","4","0","10","6","4","0","5","4","1","0","6","3","3","0","0","0","0","0","11","7","4","0","0","0","0","0"
"2022","277","West Virginia","fbs","Big 12","","5.324602623833775","12","5","7","0","9","3","6","0","6","3","3","0","6","2","4","0","0","0","0","0","12","5","7","0","0","0","0","0"
"2022","2704","West Texas A&M","ii","Lone Star","","","11","5","6","0","6","2","4","0","5","3","2","0","5","2","3","0","1","0","1","0","11","5","6","0","0","0","0","0"
"2022","2699","West Liberty","ii","Mountain East","","","11","4","7","0","10","3","7","0","6","2","4","0","5","2","3","0","0","0","0","0","11","4","7","0","0","0","0","0"
"2022","2698","West Georgia","ii","Gulf South","","","10","8","2","0","8","6","2","0","5","3","2","0","5","5","0","0","0","0","0","0","10","8","2","0","0","0","0","0"
"2022","110242","West Florida","ii","Gulf South","","","14","12","2","0","8","7","1","0","0","0","0","0","7","6","1","0","7","6","1","0","14","12","2","0","0","0","0","0"
"2022","223","West Chester","ii","Pennsylvania State Athletic","Eastern","","11","7","4","0","10","6","4","0","6","3","3","0","5","4","1","0","0","0","0","0","11","7","4","0","0","0","0","0"
"2022","2695","West Alabama","ii","Gulf South","","","11","5","6","0","8","3","5","0","5","2","3","0","5","3","2","0","1","0","1","0","11","5","6","0","0","0","0","0"
"2022","336","Wesleyan University (CT)","iii","NESCAC","","","8","5","3","0","8","5","3","0","3","3","0","0","5","2","3","0","0","0","0","0","8","5","3","0","0","0","0","0"
"2022","2692","Weber State","fcs","Big Sky","","9.012398408468295","13","10","3","0","9","6","3","0","7","6","1","0","6","4","2","0","0","0","0","0","13","10","3","0","0","0","0","0"
"2022","2845","Waynesburg","iii","Presidents'","","","10","4","6","0","8","3","5","0","5","1","4","0","5","3","2","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2022","2844","Wayne State (NE)","ii","Northern Sun","South","","12","9","3","0","12","9","3","0","6","6","0","0","6","3","3","0","0","0","0","0","12","9","3","0","0","0","0","0"
"2022","131","Wayne State (MI)","ii","GLIAC","","","10","1","9","0","7","0","7","0","6","1","5","0","4","0","4","0","0","0","0","0","10","1","9","0","0","0","0","0"
"2022","143","Washington University (St. Louis)","iii","CCIW","","","10","8","2","0","8","6","2","0","5","3","2","0","5","5","0","0","0","0","0","0","10","8","2","0","0","0","0","0"
"2022","265","Washington State","fbs","Pac-12","","5.490055236697067","13","7","6","0","9","4","5","0","7","4","3","0","5","3","2","0","1","0","1","0","12","7","5","0","1","0","1","0"
"2022","2688","Washington and Lee","iii","Old Dominion","","","10","5","5","0","6","2","4","0","5","1","4","0","5","4","1","0","0","0","0","0","10","5","5","0","0","0","0","0"
