id,school,color,alternate_color,alternate_names,abbreviation,conference,division,logos,location_id,location_city,location_state,location_zip,location_country,location_latitude,location_longitude,stadium_capacity,location_elevation,location_timezone,grass,dome
2148,Concord University,#null,#null,"CON,Concord",CON,Mountain East,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2148.png",3667.0,Princeton,WV,24740,US,37.366328,-81.1026607,2000.0,,,,False
1000985,Copiah-Lincoln C.C.,#null,#null,,,,,,,,,,,,,,,,,
172,Cornell,#d60027,#101010,"COR,Cornell",COR,Ivy,,"http://a.espncdn.com/i/teamlogos/ncaa/500/172.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/172.png",3921.0,Ithaca,NY,14850,US,42.4439016,-76.4785398,21500.0,257.3187561,America/New_York,False,False
2155,Cornell College (IA),#null,#null,"Cornell College,CORNELLIA,Cornellia",CORNELLIA,Midwest,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2155.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2155.png",5828.0,Mount Vernon,IA,,US,41.9222443,-91.4171209,1100.0,,,,False
2782,Cortland,#null,#null,"CORTLAND,Cortland",CORTLAND,Empire 8,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2782.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2782.png",5125.0,Cortland,NY,,US,41.2446453,-73.9259559,6500.0,,,,False
509,Crown College,#5c2f92,#ffffff,"CROWN,Crown",CROWN,Upper Midwest,,"http://a.espncdn.com/i/teamlogos/ncaa/500/509.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/509.png",5829.0,Saint Bonifacius,MN,,US,,,1400.0,,,,False
2570,CSU Pueblo,#null,#null,"CSTP,CO St Pueb",CSTP,Rocky Mountain,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2570.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2570.png",4852.0,Pueblo,CO,81003,US,38.2544472,-104.609141,6500.0,,,,False
1001011,CSU-Pueblo,#null,#null,,,,,,,,,,,,,,,,,
510,Culver-Stockton College,#null,#null,"CULVE,Culvr-Stck",CULVE,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/510.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/510.png",,,,,,,,,,,,
511,Cumberland (KY),#null,#null,"CUMB,Cmbrlnd KY",CUMB,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/511.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/511.png",,,,,,,,,,,,
2161,Cumberland (TN),#null,#null,"CUMBTN,Cmbrlnd TN",CUMBTN,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2161.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2161.png",,,,,,,,,,,,
40,Curry College,#65448b,#ffffff,"CUR,Curry",CUR,Commonwealth Coast,,"http://a.espncdn.com/i/teamlogos/ncaa/500/40.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/40.png",5830.0,Milton,MA,12547,US,42.2501425,-71.065573,1600.0,,,,False
512,Dakota State University,#null,#null,"DAKOT,Dakota St",DAKOT,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/512.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/512.png",,,,,,,,,,,,
513,Dakota Wesleyan,#null,#null,"DWU,Dakota Wes",DWU,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/513.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/513.png",,,,,,,,,,,,
159,Dartmouth,#005730,#000000,"DART,Dartmouth",DART,Ivy,,"http://a.espncdn.com/i/teamlogos/ncaa/500/159.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/159.png",3826.0,Hanover,NH,3755 ,US,43.701302,-72.2842781,11000.0,152.3080139,America/New_York,False,False
110254,Davenport,#null,#null,"DU,Davenport",DU,GLIAC,,,5934.0,Caledonia,MI,63631,US,37.763382,-90.7729061,2000.0,,,,False
2166,Davidson,#null,#e51837,"DAV,Davidson",DAV,Pioneer,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2166.png",3897.0,Davidson,NC,28036,US,35.4995744,-80.8428419,6000.0,249.4658203,America/New_York,False,False
2168,Dayton,#004B8D,#ffffff,"DAY,Dayton",DAY,Pioneer,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2168.png",3988.0,Dayton,OH,45417,US,39.7369239,-84.1981068,11000.0,222.4020081,America/New_York,False,False
110438,Dean College,#null,#null,"DEA,DEAN",DEA,MSCAC,,,5831.0,Franklin,MA,03235,US,34.440962,-87.8339064,1500.0,,,,False
1000986,De Anza College,#null,#null,,,,,,,,,,,,,,,,,
190,Defiance College,#4e2d8a,#ded27c,"DEF,Defiance",DEF,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/190.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/190.png",5832.0,Defiance,OH,43512,US,41.2844933,-84.3557802,4000.0,,,,False
48,Delaware,#033594,#e8ce31,"DEL,Delaware",DEL,Conference USA,,"http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/48.png",3695.0,Newark,DE,19713,US,39.6617428,-75.7488224,22000.0,28.74350357,America/New_York,False,False
2169,Delaware State,#FF3630,#009cdd,"DSU,Delaware St",DSU,MEAC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2169.png",3613.0,Dover,DE,19901,US,39.189375,-75.5433185,7193.0,10.95275307,America/New_York,False,False
2808,Delaware Valley,#004c23,#e6b71b,"DV,Del Valley",DV,Mid Atlantic,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2808.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2808.png",5833.0,New Britain,PA,18901,US,40.30815835,-75.2164370939226,2000.0,,,,False
2170,Delta State,#00753e,#000000,"DELTAST,Del State",DELTAST,Gulf South,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2170.png",5935.0,Cleveland,MS,38732,US,33.7440023,-90.7248187,8125.0,,,,False
2171,Denison University,#null,#null,"DEN,Denison",DEN,North Coast,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2171.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2171.png",5834.0,Granville,OH,43023,US,40.0681192,-82.5196037,3000.0,,,,False
83,Depauw,#null,#null,"DEP,DePauw",DEP,North Coast,,"http://a.espncdn.com/i/teamlogos/ncaa/500/83.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/83.png",3640.0,Greencastle,IN,46135,US,39.6444898,-86.8647316,3000.0,,,,False
2254,Des Moines,#null,#null,"GRANDVIEW,Grand View",GRANDVIEW,,,,,,,,,,,,,,,
2175,Dickinson (PA),#ed192d,#000000,"DIC,Dicknsn PA",DIC,Centennial,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2175.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2175.png",5835.0,Carlisle,PA,35956,US,40.201499,-77.1890783,2577.0,,,,False
316,Dickinson State University,#null,#null,"DIC,Dicknsn St",DIC,,,"http://a.espncdn.com/i/teamlogos/ncaa/500/316.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/316.png",,,,,,,,,,,,
5829,Doane College,#null,#null,Doane College,,,,,,,,,,,,,,,,
2181,Drake,#005596,#bec0c2,"DRKE,Drake",DRKE,Pioneer,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2181.png",3701.0,Des Moines,IA,50311,US,41.605,-93.655,14557.0,277.8869934,America/Chicago,False,False
